Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0603_1608Metric",119.400000,-94.975000,270.000000,top
"C2","560p","C_0603_1608Metric",118.800000,-102.300000,0.000000,top
"C3","5p","C_0603_1608Metric",120.900000,-106.200000,90.000000,top
"C4","47u","C_Elec_8x10.2",135.800000,-80.400000,90.000000,top
"C5","2n","C_0603_1608Metric",120.100000,-108.500000,180.000000,top
"C6","100n","C_0603_1608Metric",118.800000,-103.900000,180.000000,top
"C7","2.2u","C_1206_3216Metric",135.300000,-92.100000,270.000000,top
"C8","2.2u","C_1206_3216Metric",140.100000,-92.100000,270.000000,top
"C9","2.2u","C_1206_3216Metric",137.700000,-92.100000,270.000000,top
"C10","2.2u","C_1206_3216Metric",132.900000,-92.100000,270.000000,top
"C11","1u","C_0603_1608Metric",135.400000,-96.700000,0.000000,top
"C12","22n","C_0603_1608Metric",130.700000,-89.400000,90.000000,top
"C13","1u","C_0603_1608Metric",134.400000,-101.800000,0.000000,top
"C14","47u","C_1206_3216Metric",164.900000,-98.200000,270.000000,top
"C15","47u","C_1206_3216Metric",172.700000,-98.200000,270.000000,top
"C16","47u","C_1206_3216Metric",162.200000,-98.200000,270.000000,top
"C17","47u","C_1206_3216Metric",167.700000,-98.200000,270.000000,top
"C18","47u","C_1206_3216Metric",170.100000,-98.200000,270.000000,top
"C19","100n","C_0603_1608Metric",123.800000,-97.900000,180.000000,top
"C20","22n","C_0603_1608Metric",170.100000,-91.400000,0.000000,top
"D1","CMPD2003","D_SOT-23_ANK",120.400000,-91.600000,90.000000,top
"D2","CMPD2003","D_SOT-23_ANK",134.200000,-99.300000,90.000000,top
"D3","CMPD2003","D_SOT-23_ANK",149.300000,-79.600000,270.000000,top
"L1","22u","L_12x12mm_H6mm",153.900000,-94.900000,0.000000,top
"R1","100k","R_0603_1608Metric",117.800000,-91.800000,270.000000,top
"R2","10k","R_0603_1608Metric",117.800000,-94.925000,270.000000,top
"R3","62k","R_0603_1608Metric",119.300000,-106.200000,90.000000,top
"R4","470k","R_0603_1608Metric",118.800000,-100.500000,0.000000,top
"R5","12.4k","R_0603_1608Metric",118.800000,-98.700000,180.000000,top
"R6","1M","R_0603_1608Metric",123.200000,-91.700000,90.000000,top
"R7","10k","R_0603_1608Metric",130.100000,-106.600000,0.000000,top
"R8","2.2R","R_0805_2012Metric",132.100000,-96.600000,180.000000,top
"R9","0.013R","R_1206_3216Metric",142.400000,-104.100000,90.000000,top
"R10","12k","R_0603_1608Metric",120.787500,-110.700000,180.000000,top
"R11","1.3k","R_0603_1608Metric",117.775000,-110.700000,180.000000,top
"U1","LM5116NH","HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm",126.200000,-102.300000,0.000000,top
"U2","Si7850","PowerPAK_SO-8_Single",144.100000,-90.190000,90.000000,top
"U3","Si7850","PowerPAK_SO-8_Single",144.065000,-98.195000,90.000000,top
